站名,站号,经度,纬度,2019年,距平,历史排位,
瑞金,58903,116.0167,25.9167,1619.4,-1.7,32,-0.09,正常,
于都,58905,115.4167,25.9667,1645.6,7.3,20,0.34,正常,
会昌,58906,115.8,25.6,1690.7,3.6,21,0.21,正常,
安远,58907,115.4,25.15,1548.3,-0.4,30,-0.02,正常,
全南,59091,114.5167,24.75,1906.2,13.4,12,0.83,正常,
龙南,59092,114.8,24.8667,1504.5,-1.5,31,-0.08,正常,
定南,59093,115.0333,24.7833,1854.3,16.1,11,0.92,正常,
寻乌,59102,115.65,24.95,1784.5,11,14,0.53,正常,
吉安,57799,114.9167,27.05,2028.2,24.5,06,1.16,偏多,
南昌县,58607,115.9667,28.5667,1595.2,-1.7,23,-0.08,正常,
广信,58623,117.9,28.4667,1888.7,2.5,42,0.12,正常,
